Name,Population,Median_Age,Household_Income,Per_Capita_Income,Poverty_Count,Poverty_Rate,Unemployment_Rate,County,State
"Hardin County, Iowa",17061.0,44.7,54196.0,28770.0,1564.0,9.1671062657523,0.8967821346931598,Hardin, Iowa
"Lucas County, Iowa",8583.0,44.2,55205.0,31069.0,991.0,11.546079459396482,1.6893859955726436,Lucas, Iowa
"Palo Alto County, Iowa",9003.0,41.4,52932.0,28445.0,554.0,6.1535043874264135,0.7441963789847829,Palo, Iowa
"Henry County, Iowa",19941.0,39.7,53501.0,26408.0,1972.0,9.889173060528561,2.6979589789880145,Henry, Iowa
"Jasper County, Iowa",36971.0,42.1,58952.0,28604.0,3186.0,8.617565118606475,1.912309648102567,Jasper, Iowa
"Poweshiek County, Iowa",18388.0,40.5,53852.0,31827.0,1654.0,8.994996737002394,2.1644550793996085,Poweshiek, Iowa
"Clayton County, Iowa",17625.0,47.3,53152.0,28294.0,1993.0,11.307801418439714,1.2822695035460994,Clayton, Iowa
"Bremer County, Iowa",24864.0,39.8,70395.0,32814.0,1725.0,6.937741312741313,1.242760617760618,Bremer, Iowa
"Emmet County, Iowa",9438.0,42.9,51563.0,28651.0,1055.0,11.178215723670268,1.854206399660945,Emmet, Iowa
"Hancock County, Iowa",10802.0,44.2,61761.0,30309.0,1063.0,9.840770227735604,1.175708202184781,Hancock, Iowa
"Jackson County, Iowa",19401.0,44.3,55967.0,29660.0,2500.0,12.885933714756973,1.876191948868615,Jackson, Iowa
"Lee County, Iowa",34227.0,43.1,49564.0,26710.0,4658.0,13.609138983843165,3.3920589008677364,Lee, Iowa
"Warren County, Iowa",50076.0,38.3,77048.0,36496.0,3933.0,7.854061826024443,1.6195383017812923,Warren, Iowa
"Mahaska County, Iowa",22164.0,39.3,54825.0,28174.0,2949.0,13.30536004331348,2.0122721530409677,Mahaska, Iowa
"Clay County, Iowa",16211.0,42.9,50521.0,28747.0,1723.0,10.628585528344953,2.1960397261119,Clay, Iowa
"Delaware County, Iowa",17183.0,43.8,63750.0,32112.0,1559.0,9.072920910201942,1.0882849327824011,Delaware, Iowa
"Bacon County, Georgia",11201.0,36.7,37519.0,20326.0,2486.0,22.19444692438175,1.7319882153379162,Bacon, Georgia
"Brantley County, Georgia",18756.0,41.1,38857.0,20191.0,3654.0,19.481765834932823,2.2232885476647475,Brantley, Georgia
"Ben Hill County, Georgia",17033.0,39.9,32229.0,17774.0,4925.0,28.91446016556097,2.2192215111841715,Ben, Georgia
