fips_code,population,median_age,household_income,per_capita_income,poverty_count,poverty_rate,unemployment_rate
1001,55380.0,38.2,58731.0,29819.0,8340.0,15.059588299024918,1.6901408450704225
1003,212830.0,43.0,58320.0,32626.0,21704.0,10.197810459051825,1.9856223276793683
1005,25361.0,40.4,32525.0,18473.0,6875.0,27.108552501872953,3.3476597925949294
1007,22493.0,40.9,47542.0,20778.0,3740.0,16.627395189614543,2.9298003823411727
1009,57681.0,40.7,49358.0,24747.0,7739.0,13.416896378356824,1.3227926006830673
1011,10248.0,40.2,37785.0,20877.0,2825.0,27.56635441061671,1.6978922716627636
1013,19828.0,40.8,40688.0,21038.0,4397.0,22.175711115594112,2.9201129715553766
1015,114618.0,39.6,47255.0,25345.0,19969.0,17.422219895653384,3.6730705473834826
1017,33660.0,42.0,42289.0,22729.0,5711.0,16.966726084373146,1.812240047534165
1019,25903.0,46.5,41919.0,24301.0,3560.0,13.743581824499092,1.787437748523337
1021,44055.0,38.7,47468.0,24658.0,8302.0,18.844626035637273,2.723867892407218
1023,12925.0,46.3,35892.0,22308.0,2968.0,22.96324951644101,2.769825918762089
1025,24128.0,42.5,37404.0,22225.0,5484.0,22.728779840848805,4.476127320954907
1027,13337.0,43.3,40845.0,23519.0,2342.0,17.560170952987928,2.3693484291819753
1029,14916.0,43.1,44741.0,23142.0,2531.0,16.968356127648164,2.4202198980960037
1031,51662.0,39.3,55637.0,27806.0,7670.0,14.846502264720685,2.5821687120126984
1033,54771.0,42.4,48065.0,25536.0,8390.0,15.31832539117416,1.8969892826495771
1035,12394.0,44.8,37837.0,19769.0,2161.0,17.43585605938357,3.4774891076327257
1037,10757.0,48.4,38990.0,23694.0,1399.0,13.005484800594964,1.1527377521613833
1039,37200.0,43.3,42189.0,23687.0,6756.0,18.161290322580644,3.6344086021505375
1041,13844.0,41.7,43163.0,24563.0,2065.0,14.916209188095927,1.4518925166136956
1043,82853.0,40.8,44918.0,23468.0,12133.0,14.644008062472091,2.2147659107093287
1045,49277.0,37.3,47214.0,24645.0,8424.0,17.095196541997282,3.165777137406904
1047,39149.0,39.6,33845.0,19612.0,11204.0,28.618866382283073,4.551840404608036
1049,71310.0,39.5,40440.0,21907.0,14833.0,20.800729210489408,1.7094376665264341
1051,81144.0,38.7,60891.0,29052.0,8820.0,10.869565217391305,2.035886818495514
