County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
051,"Fayette County, Illinois",21565.0,41.9,46650.0,23194.0,3421.0,15.863667980523998,2.434500347785764
107,"Logan County, Illinois",29003.0,40.1,57308.0,27546.0,2323.0,8.009516256938937,2.544564355411509
165,"Saline County, Illinois",23994.0,42.2,44090.0,25342.0,4936.0,20.571809619071434,3.4008502125531384
097,"Lake County, Illinois",701473.0,38.4,89427.0,45766.0,54273.0,7.737004845517932,2.7594789820848415
127,"Massac County, Illinois",14219.0,43.5,47481.0,23539.0,2331.0,16.393557915465223,1.8215064350516914
017,"Cass County, Illinois",12493.0,40.0,52373.0,26992.0,1822.0,14.584167133594812,3.313855759225166
069,"Huntington County, Indiana",36359.0,40.7,53632.0,26502.0,3809.0,10.476085700926868,1.4631865562859265
181,"White County, Indiana",24149.0,42.0,54576.0,27461.0,2198.0,9.101826162574019,1.925545571245186
075,"Jay County, Indiana",20840.0,39.7,47658.0,23443.0,2887.0,13.853166986564299,1.8042226487523991
145,"Shelby County, Indiana",44438.0,40.8,60404.0,29583.0,4903.0,11.033349835726181,1.8452675637967506
153,"Sullivan County, Indiana",20730.0,41.0,50245.0,24356.0,2209.0,10.656054027978774,2.122527737578389
157,"Tippecanoe County, Indiana",191553.0,28.2,53130.0,27451.0,32662.0,17.05115555485949,2.155539198028744
057,"Hamilton County, Indiana",323117.0,37.1,98173.0,49287.0,14700.0,4.549435653339193,1.5136931823457138
005,"Bartholomew County, Indiana",82481.0,37.8,63431.0,31774.0,10859.0,13.165456286902439,2.143523963094531
049,"Fulton County, Indiana",20096.0,41.3,52034.0,26427.0,2442.0,12.151671974522293,2.060111464968153
113,"Noble County, Indiana",47506.0,38.7,56789.0,26832.0,3453.0,7.2685555508777835,1.9850124194838548
019,"Clark County, Indiana",116507.0,39.1,55630.0,29062.0,11544.0,9.908417519977341,2.5612194975409204
063,"Hendricks County, Indiana",163799.0,37.7,81933.0,36569.0,8021.0,4.896855292156851,1.9774235495943198
053,"Grant County, Indiana",66452.0,40.3,44356.0,23046.0,10953.0,16.4825738879191,3.3859026063925843
071,"Jackson County, Indiana",44025.0,38.5,51250.0,25840.0,6268.0,14.237365133446906,2.1328790459965927
119,"Owen County, Indiana",20835.0,45.2,49543.0,25209.0,3154.0,15.13798896088313,2.663786897048236
183,"Whitley County, Indiana",33730.0,41.8,61741.0,31843.0,3213.0,9.525644826563889,1.909279573080344
023,"Clinton County, Indiana",32273.0,37.8,54286.0,24489.0,3916.0,12.13398196634958,1.8932234375484152
161,"Union County, Indiana",7113.0,43.5,50375.0,25661.0,513.0,7.212146773513285,0.7029382820188388
029,"Dearborn County, Indiana",49479.0,42.5,68658.0,30800.0,4446.0,8.985630267386163,1.9321328240263547
093,"Lawrence County, Indiana",45548.0,43.1,53610.0,26603.0,5549.0,12.182752261350663,2.1032756652322826
123,"Perry County, Indiana",19102.0,42.0,52348.0,25707.0,2067.0,10.820856454821485,1.3768191812375667
129,"Posey County, Indiana",25560.0,42.6,64196.0,32091.0,2255.0,8.822378716744915,2.0852895148669797
015,"Carroll County, Indiana",20074.0,42.9,54806.0,29366.0,1912.0,9.524758393942413,1.4944704593005878
045,"Fountain County, Indiana",16430.0,43.4,52874.0,28058.0,1802.0,10.96774193548387,2.0998174071819844
149,"Starke County, Indiana",22952.0,41.5,51190.0,24673.0,3385.0,14.748170094109446,2.217671662600209
055,"Greene County, Indiana",32159.0,43.1,51613.0,25453.0,4527.0,14.076930252806369,2.235766037501166
011,"Benton County, Iowa",25636.0,42.6,67729.0,33301.0,2216.0,8.644094242471525,1.5954127008893744
061,"Dubuque County, Iowa",96982.0,38.6,63031.0,32905.0,10646.0,10.977294755727867,2.099358643872059
151,"Pocahontas County, Iowa",6797.0,47.6,52448.0,30013.0,713.0,10.489922024422539,1.64778578784758
177,"Van Buren County, Iowa",7150.0,45.4,48591.0,27252.0,906.0,12.671328671328672,2.3496503496503496
003,"Adams County, Iowa",3670.0,47.3,49255.0,28440.0,508.0,13.841961852861035,1.8528610354223434
009,"Audubon County, Iowa",5571.0,48.1,52055.0,30344.0,632.0,11.34446239454317,0.9334051337282355
051,"Davis County, Iowa",8920.0,36.8,63404.0,29387.0,868.0,9.730941704035875,1.468609865470852
093,"Ida County, Iowa",6901.0,43.7,58427.0,33789.0,648.0,9.389943486451239,1.3186494710911463
135,"Monroe County, Iowa",7807.0,43.0,58269.0,28999.0,809.0,10.36249519661842,1.9853977199948765
167,"Sioux County, Iowa",34827.0,33.4,69844.0,29360.0,2047.0,5.877623682774859,1.4873517673069745
025,"Calhoun County, Iowa",9744.0,44.6,52323.0,28434.0,1133.0,11.627668308702791,1.0467980295566504
033,"Cerro Gordo County, Iowa",42834.0,44.3,53963.0,32757.0,4252.0,9.92669374795723,2.140822710930569
083,"Hardin County, Iowa",17061.0,44.7,54196.0,28770.0,1564.0,9.1671062657523,0.8967821346931598
117,"Lucas County, Iowa",8583.0,44.2,55205.0,31069.0,991.0,11.54607945939648,1.6893859955726436
147,"Palo Alto County, Iowa",9003.0,41.4,52932.0,28445.0,554.0,6.1535043874264135,0.7441963789847829
087,"Henry County, Iowa",19941.0,39.7,53501.0,26408.0,1972.0,9.88917306052856,2.6979589789880145
099,"Jasper County, Iowa",36971.0,42.1,58952.0,28604.0,3186.0,8.617565118606475,1.912309648102567
157,"Poweshiek County, Iowa",18388.0,40.5,53852.0,31827.0,1654.0,8.994996737002392,2.1644550793996085
043,"Clayton County, Iowa",17625.0,47.3,53152.0,28294.0,1993.0,11.307801418439716,1.2822695035460994
017,"Bremer County, Iowa",24864.0,39.8,70395.0,32814.0,1725.0,6.937741312741313,1.2427606177606179
063,"Emmet County, Iowa",9438.0,42.9,51563.0,28651.0,1055.0,11.178215723670268,1.854206399660945
081,"Hancock County, Iowa",10802.0,44.2,61761.0,30309.0,1063.0,9.840770227735604,1.1757082021847807
097,"Jackson County, Iowa",19401.0,44.3,55967.0,29660.0,2500.0,12.885933714756971,1.876191948868615
111,"Lee County, Iowa",34227.0,43.1,49564.0,26710.0,4658.0,13.609138983843165,3.392058900867736
181,"Warren County, Iowa",50076.0,38.3,77048.0,36496.0,3933.0,7.854061826024443,1.6195383017812925
123,"Mahaska County, Iowa",22164.0,39.3,54825.0,28174.0,2949.0,13.305360043313481,2.0122721530409673
041,"Clay County, Iowa",16211.0,42.9,50521.0,28747.0,1723.0,10.628585528344951,2.1960397261118993
055,"Delaware County, Iowa",17183.0,43.8,63750.0,32112.0,1559.0,9.072920910201944,1.0882849327824011
005,"Bacon County, Georgia",11201.0,36.7,37519.0,20326.0,2486.0,22.19444692438175,1.7319882153379162
025,"Brantley County, Georgia",18756.0,41.1,38857.0,20191.0,3654.0,19.481765834932823,2.2232885476647475
017,"Ben Hill County, Georgia",17033.0,39.9,32229.0,17774.0,4925.0,28.91446016556097,2.219221511184172
033,"Burke County, Georgia",22520.0,37.4,44151.0,22173.0,4928.0,21.882770870337477,1.891651865008881
047,"Catoosa County, Georgia",66700.0,40.4,56235.0,27308.0,6516.0,9.76911544227886,2.0374812593703147
053,"Chattahoochee County, Georgia",10560.0,24.5,47096.0,23769.0,1418.0,13.428030303030303,2.6704545454545454
055,"Chattooga County, Georgia",24812.0,39.4,36807.0,18715.0,4415.0,17.793809447041752,2.188457198129937
073,"Columbia County, Georgia",150705.0,36.9,82339.0,34579.0,11173.0,7.413821704654789,2.1704654789157627
087,"Decatur County, Georgia",26682.0,37.8,41481.0,21568.0,6203.0,23.247882467581142,2.1212802638482873
115,"Floyd County, Georgia",97369.0,38.3,48336.0,25776.0,17122.0,17.5846521993653,2.449444895192515
117,"Forsyth County, Georgia",228383.0,38.5,107218.0,43832.0,12937.0,5.664607260610466,1.691019033816002
137,"Habersham County, Georgia",44626.0,39.7,50563.0,23046.0,6381.0,14.298839241697666,1.335544301528257
147,"Hart County, Georgia",25773.0,44.1,43204.0,23181.0,3750.0,14.550110580840414,2.277577309587553
185,"Lowndes County, Georgia",115364.0,30.5,42441.0,23348.0,27120.0,23.508200131756873,2.8934502964529663
191,"McIntosh County, Georgia",14174.0,49.4,49504.0,26892.0,2465.0,17.39099760124171,2.751516861859743
199,"Meriwether County, Georgia",21106.0,42.3,37121.0,21038.0,4806.0,22.770776082630533,2.511134274613854
207,"Monroe County, Georgia",27171.0,42.9,54754.0,33290.0,3625.0,13.341430201317582,3.128335357550329
237,"Putnam County, Georgia",21691.0,46.2,51606.0,31504.0,3449.0,15.900603937116777,1.9040154902955142
261,"Sumter County, Georgia",30064.0,35.7,36681.0,20654.0,7567.0,25.1696381053752,3.642229909526344
265,"Taliaferro County, Georgia",1611.0,44.2,37446.0,21416.0,340.0,21.104903786468032,2.9174425822470513
301,"Warren County, Georgia",5297.0,45.1,37203.0,23448.0,1402.0,26.46781196903908,2.0200113271663205
185,"Wayne County, Iowa",6429.0,43.2,44768.0,25628.0,1086.0,16.892207186187587,0.7466168922071862
163,"Scott County, Iowa",172446.0,38.3,61183.0,33643.0,20389.0,11.823411386752955,1.9617735407025967
181,"Sherman County, Kansas",5938.0,39.3,54754.0,27919.0,660.0,11.11485348602223,1.8187942068036376
193,"Thomas County, Kansas",7810.0,36.0,60124.0,30442.0,883.0,11.306017925736235,1.229193341869398
127,"Morris County, Kansas",5566.0,46.6,55658.0,29558.0,493.0,8.857348185411427,1.2037369744879627
163,"Rooks County, Kansas",5053.0,44.7,49415.0,26420.0,380.0,7.520284979220265,1.543637443103107
025,"Clark County, Kansas",2026.0,45.3,53348.0,28227.0,213.0,10.513326752221126,0.7403751233958539
077,"Harper County, Kansas",5594.0,42.4,49865.0,24800.0,874.0,15.623882731498034,2.592062924562031
111,"Lyon County, Kansas",33251.0,33.4,46338.0,26904.0,5356.0,16.10778623199302,2.99840606297555
145,"Pawnee County, Kansas",6629.0,43.0,49917.0,25131.0,353.0,5.32508674008146,1.0107105144063961
033,"Comanche County, Kansas",1740.0,48.1,54821.0,30355.0,175.0,10.057471264367816,1.6666666666666667
063,"Gove County, Kansas",2644.0,48.2,48317.0,28859.0,259.0,9.795763993948563,0.794251134644478
079,"Harvey County, Kansas",34503.0,39.2,57982.0,28226.0,3172.0,9.19340347216184,1.6926064400197085
093,"Kearny County, Kansas",3907.0,34.7,52599.0,23415.0,749.0,19.170719221909394,0.9470181725108779
113,"McPherson County, Kansas",28567.0,40.8,59089.0,31006.0,2382.0,8.338292435327476,1.0256589771414568
